,Isopodichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Camborygma,Phycodes,Archaeonassa,Catenichnus,Rosselia,Glockerichnus,Cosmorhaphe,Rusophycus,Furculosus,Spirorhaphe,Scolicia,Syringomorpha,Spirophyton,Ptychoplasma,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Spirophycus,Treptichnus,Helicodromites,Bifungites,Volkichnium,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Cylindrichnus,Climactichnites,Phycosiphon,Furnasichnus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Conostichus,Asterosoma,Macaronichnus,Arthrophycus,Thalassinoides,Diplichnites,Cylindricum,Daedalus,Arachnostega,Spirodesmos,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Compaginatichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Fuersichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furculosus,,,201.0,,,,,,,,,,0.0,,,,,,,,,24.0,,,,,,,,,,,,,,,141.0,,,,,,,,,,,,,,,,,90.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
Furnasichnus,,,,,,,,,,,,32.0,,,,,,,,,48.5,,95.0,,,,62.0,,,,,,15.5,,,0.0,26.0,,,,68.0,,,,,11.5,,,,,,,,67.5,,,,,,,76.0,,,,,,,,8.0,7.0,,,20.5,,,,,,,,,,
Glockerichnus,,,,,,98.0,,,,0.0,,,,,120.0,,154.0,,,,,39.0,130.0,141.0,,23.0,,,,28.0,12.0,,,,,,108.0,,,,,,,,,69.0,,,,,,,,84.0,,,54.0,,,,,,,,,,,,,,,,,,,171.0,,,,41.0,,,
Gyrochorte,,0.0,19.5,,,13.0,,,42.0,,,,,,128.0,,,,,,149.0,7.75,100.0,,,,,,,47.75,,,76.0,,,,14.75,133.5,,13.0,94.2,,,,,,,,,,,,,53.0,,121.0,,,,21.0,135.0,9.5,45.0,,,,,,76.66666666666667,40.0,,,99.0,,,26.75,,41.5,,227.5,97.0,,
Gyrolithes,,,,16.0,,29.0,80.0,,,,,80.0,,,,,,,,,,,,,22.0,,,,,,,,,,,,34.0,,,,,95.0,6.0,,,,0.0,,,,,,,22.0,,52.0,,,,,33.0,,30.0,,,,,,,,,,40.0,,,,,,,,,,
Gyrophyllites,,,,28.0,,23.0,92.0,,,,,68.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,28.0,5.25,,,14.75,83.0,0.0,,,,6.0,,,,,,,16.0,,64.0,,,,,39.0,,42.0,,,,,,,,,,52.0,,,,,,,,10.25,,
Haentzschelinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halimedides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halopoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
