,Isopodichnus,Pilichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Phycodes,Archaeonassa,Rosselia,Brooksella,Spongeliomorpha,Glockerichnus,Rusophycus,Syringomorpha,Arenicolites,Helminthopsis,Skolithos,Treptichnus,Torrowangea,Diplocraterion,Dictyodora,Climactichnites,Planolites,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Protovirgularia,Nereites,Palaeophycus,Streptichnus,Bergaueria,Thalassinoides,Diplichnites,Biformites,Didymaulichnus,Lockeia,Cruziana,Teichichnus,Nenoxites,Cochlichnus,Conichnus,Oldhamia
Paradictyodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parahaentzschelinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parataenidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmaichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parowanichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patagonichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennatulites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pholeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phycodes,,,,,,0.0,,,,,,3.0,,,,,1.1818181818181819,,,,,6.5,,,,,,,,,,,,,7.5,,50.0,,,,,,,,,38.0,,
Phycosiphon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatoderma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilichnus,,0.0,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,9.5
Piscichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planolites,,,16.0,16.0,33.0,6.5,34.0,55.666666666666664,,77.5,,1.0,50.666666666666664,11.2,,14.25,11.5,,25.666666666666668,,,0.0,,,,10.333333333333334,55.5,7.8,,,4.0,,,17.5,1.3333333333333333,,4.2,,77.0,39.5,,46.0,156.0,24.6,,51.0,,
Platicytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychoredrites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polykampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polykladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pramollichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protopaleodictyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protovirgularia,,,,,,,,,,,,,,,,,6.666666666666667,,,,,,,30.0,,,,,,,,,0.0,42.0,9.666666666666666,,,,,,,,,,,,,23.333333333333332
Psammichnites,,,,,,,21.0,68.66666666666667,,,,72.8,63.666666666666664,,,,12.666666666666666,,38.666666666666664,42.0,,7.8,,,,11.666666666666666,63.5,0.0,,,,,,,,,,,,,,54.0,,27.0,,,,
Psilonichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptychoplasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebuffoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhizocorallium,,,32.0,0.0,,,,,,,,,,,,25.0,,,,,,16.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
Rosselia,,,,,,,89.66666666666667,0.0,,,,52.666666666666664,5.0,,,,94.0,,30.0,,,55.666666666666664,,,,45.333333333333336,,68.66666666666667,,,,,,,,,,,,,,,,14.666666666666666,,,,
Rusophycus,,,,,20.5,3.0,142.33333333333334,52.666666666666664,,114.0,,0.0,28.833333333333332,,,151.0,18.333333333333332,,41.333333333333336,,,1.0,,,,98.0,73.0,72.8,,,,,,79.0,1.2727272727272727,,7.857142857142857,,20.75,135.0,,63.5,4.666666666666667,67.33333333333333,,,,
Rutichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagittichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saronichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalarituba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaphichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaubcylindrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scolicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoyenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinusichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphonichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skolichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skolithos,,,,25.0,91.0,,,,,20.5,,151.0,,13.5,,0.0,,,2.75,,,14.25,,,,16.5,,,15.0,11.0,14.0,,,39.5,,,,,135.0,17.5,,,8.25,,,,,
Socialites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirodesmos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirographites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirophyton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spongeliomorpha,,,,,54.0,,,,,0.0,,114.0,,,,20.5,,,,,,77.5,,,,,,,,,,,,40.0,,,,,98.0,25.333333333333332,,,177.0,,,,,
Steinichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
