,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Phycodes,Rosselia,Laevicyclus,Lophoctenium,Brooksella,Spongeliomorpha,Glockerichnus,Cosmorhaphe,Rusophycus,Altichnus,Heimdallia,Scolicia,Parahaentzschelinia,Spirophyton,Megagrapton,Lennea,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Piscichnus,Bifungites,Naktodemasis,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Cylindrichnus,Osculichnus,Phycosiphon,Furnasichnus,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Didymaulyponomos,Psammichnites,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Dendrotichnium,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Asterosoma,Chagrinichnites,Polarichnus,Arthrophycus,Entradichnus,Thalassinoides,Psilonichnus,Hillichnus,Phymatoderma,Diplichnites,Daedalus,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Ilmenichnus,Teichichnus,Scalichnus,Margaritichnus,Arenituba,Cochlichnus,Oldhamia
Dactylophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,85.0,,,,,,,
Daimonelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimoniobarax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrotichnium,,,,,,,134.0,,,,,,,23.0,180.0,,,,,,,,,144.0,,46.0,192.0,,,,,,,,,,,,,,,93.0,48.0,,,,203.0,,,,,163.0,0.0,,,,106.0,120.0,60.0,61.0,,,,,,,,,,,,16.0,,,,10.0,,,,,,36.0,
Desmograpton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,5.333333333333333,,,,,,,,,,,,,,1.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didymaulichnus,,,,,147.5,,118.0,30.0,,,,,,39.0,30.666666666666668,,122.0,,,,,,,128.0,4.8,30.0,36.333333333333336,,70.0,,,12.333333333333334,,,3.75,,,8.0,34.0,,,77.0,21.333333333333332,135.5,54.5,,64.0,19.5,,,,147.0,16.0,,,,4.714285714285714,104.0,76.0,45.0,,,158.0,12.5,,19.0,,,,16.0,,0.0,7.5,,,1.6666666666666667,,,,68.0,,52.0,
Didymaulyponomos,,,,,12.0,,,105.5,,,,,,,67.5,,13.5,,,,,,,,33.5,,147.0,,,,,49.5,,,40.5,,,,,,,,,0.0,81.0,,,,,,,,,,,,123.5,,,,,,,35.0,,154.5,,,,,,135.5,69.5,,,83.5,,,,,,,
Dimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplichnites,,,,,,,,,,,,,,,84.0,,,,,,,,,,40.0,,202.0,,,22.0,,21.0,,,,,,,5.6,,,,,,,,120.0,,,,,11.0,,,,15.0,3.5,,,,,,142.0,,,,,,,0.0,,16.0,11.0,,,1.6666666666666667,,,,52.0,,,
Diplocraterion,,,,,34.92307692307692,,2.6363636363636362,56.0,,,,,,,8.166666666666666,16.0,36.0,,,,,,,,7.625,,0.47619047619047616,,,,,0.0,,8.8,2.142857142857143,,,,3.25,,49.916666666666664,,25.272727272727273,49.5,31.5,,219.0,,,,,,,,,,1.3888888888888888,,,,,,121.0,84.5,,8.375,,,,21.0,,12.333333333333334,2.2857142857142856,,,5.875,,9.166666666666666,,31.0,6.8,4.6,
Dolopichnus,,,,,66.5,,,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,,30.5,,,,,,,10.5,,,,,17.0,,36.0,,,,,,,,,,,,57.5,,,,,,0.0,,,,,,,,
Dreginozoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinospira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edaphichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellipsoideichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entradichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
Ereipichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estrellichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fictovichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fontanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fucusopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuersichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furculosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furnasichnus,,,,,,,,,,,,,,,32.0,,,,,,,,,,48.5,,95.0,,62.0,,,,,,15.5,,,0.0,26.0,,,,68.0,,,,,11.5,,,,,,,,,67.5,,,,,,,76.0,,,,,,,,8.0,7.0,,,20.5,,,,,,,
Glockerichnus,,,,,,,,,,28.0,,,0.0,,,,,73.0,,,13.0,,,,,,,,,,,,,,,,36.0,,,,62.0,,50.0,,,,,,,,,,,,23.0,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,15.0,
Gyrochorte,,,0.0,10.0,35.666666666666664,,28.0,,,,,,,9.0,,,,,,,15.0,,,,,,,,,,,,,,,,31.333333333333332,,19.333333333333332,,,,,,,,,,,,,,,,,,23.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrolithes,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,7.5,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,7.5,,,,,
Gyrophyllites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haentzschelinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halimedides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halopoa,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,,,,,,,,,,0.0,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartsellea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heimdallia,,,,,25.5,,,92.0,,,,,,,81.0,,0.0,,,,,,,,20.0,,133.5,,,,,36.0,,,27.0,,,,,,,,,13.5,67.5,,,,,,,,,,,,110.0,,,,,,,48.5,,141.0,,,,,,122.0,56.0,,,97.0,,,,,,,
Helicodromites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helicolithus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helminthopsis,,,,,,,29.333333333333332,,,,,,,69.0,134.0,,,,,,13.5,,,32.666666666666664,,0.0,146.0,,,,,,,,,,79.5,,79.0,25.5,70.0,15.666666666666666,18.8,,,,157.0,,,,,117.0,46.0,,37.5,,20.0,24.666666666666668,106.0,15.0,,,,,,109.5,,,,,,30.0,,,,56.0,,,,,17.0,82.0,
Helminthorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillichnus,,108.0,,,,,,,176.0,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,50.0,,,,
Hormosiroidea,,,,,,,73.0,,,,,,,84.0,119.0,,,,,,,,,83.0,,15.0,131.0,,,,,,,,,,,,,,,32.0,109.0,,,,142.0,,,,,102.0,61.0,,,,45.0,59.0,121.0,0.0,,,,,,,,,,,,45.0,,,,71.0,,,,,,97.0,
Hydrancylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilmenichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.0,,,,,,
